name,symbol,color,range,decimals,interval,continuous,size
HR,-,#FF0000,40-150,0,1,FALSE,0
SpO2,・,#0066FF,80-100,0,1,FALSE,0
sNIBP,∨,#FF6600,60-220,0,5,FALSE,0
dNIBP,∧,#FF6600,60-220,0,5,FALSE,0
BT,・,#00CC00,35-40,1,1,FALSE,-1
EtCO2,^,#CCCC00,20-60,0,1,FALSE,0
EtGas,,#CC00CC,0-8,1,1,FALSE,-1
sABP,T,#FF6600,60-220,0,5,FALSE,0
dABP,⊥,#FF6600,60-220,0,5,FALSE,0
